id,email,password_hash,country,role,sailingExp,budgetMin,budgetMax,has_skipper_licence,createdAt,updatedAt
ff210a03-d01e-49a5-9050-284d1d94490a,george10@example.net,2ce2655d550d8c72c57c13a0bbf77aead31563ba5a815df8a0c3274c99bbf17e,UAE,lesser,pro,10000,11000,True,2025-08-28 17:45:39.689867,2025-08-28 17:45:39.689867
aa771675-f84b-4ba8-9b40-fd74af0a824b,dawnbenton@example.org,d57e2f89c736625c40b4aa7c5655af6790996deb1583e7742bed49b890004bab,Australia,lessee,intermediate,11000,12000,True,2025-08-22 09:40:01.392685,2025-08-22 09:40:01.392685
1a8377f6-3e91-437e-9850-e9903a43fcfe,barnescaleb@example.org,5c502e299ac89febb9b50bc4a110c10a63ec5fc0f2747de92eb2458522b7a599,Italy,lessee,none,8000,10000,False,2025-02-16 01:35:56.257036,2025-02-16 01:35:56.257036
af25acc5-9702-4853-bfe1-12a10e190c91,maryhernandez@example.org,edb74f9748fca505b74b55c1af382d391b3fbb246c63809b89c18fd0aec3e0f5,UAE,lessee,pro,4000,4000,True,2025-03-22 23:38:58.232240,2025-03-22 23:38:58.232240
d4855673-9b4c-43c2-b9dd-432b5cf28c37,christophergreen@example.com,35f1d14f5f3ad35f3875cc171497774eb5f7fde2a3a1b328ffffa37036befa1e,Spain,lessee,none,14000,20000,True,2025-04-01 13:03:04.791073,2025-04-01 13:03:04.791073
9f461fb2-3fdd-4ef2-8b24-11c88bc04b2f,jonathan18@example.net,6199c0c13342a966e9642e25bc21617ede2ca5485e9641dab9437fca821b8e14,France,lessee,intermediate,27000,40000,True,2025-04-28 17:47:11.514799,2025-04-28 17:47:11.514799
f1383a9f-37d9-4813-99cc-c5b81f72462b,noahgonzalez@example.com,eff7e114e9a3bf7b50ddd62105d38a06b07c54a2de73fb5f0bd3d4a04bbffa55,Norway,lessee,beginner,6000,7000,True,2025-06-20 16:36:47.552508,2025-06-20 16:36:47.552508
3e798853-647b-4107-b4b4-d8209e5ca2a6,zlopez@example.org,00c3eae96c86e3ab4dd7da31269ed85f484df0f6582bbf2f6311816485df0130,UAE,lessee,pro,6000,6000,True,2025-05-11 23:17:10.033974,2025-05-11 23:17:10.033974
a703530b-1d31-4aae-80be-f36ad4dcfef8,hernandezshawn@example.org,b20c476762985df7ecb3bb9483c2117efaea9b0506928826428f1c8d31a10f0b,Norway,lessee,pro,4000,4000,True,2025-04-26 04:26:18.806201,2025-04-26 04:26:18.806201
f6477ec3-81e4-46f2-a4ba-354f20157561,ismith@example.com,fc87f68a70190203a66d7dd2c916e2d3be235c5832be7d5bd03fe923d01e809c,Indonesia,lessee,beginner,12000,13000,True,2025-10-19 23:07:13.387465,2025-10-19 23:07:13.387465
